"model","score","probability","year"
"1-1","-1","0","five"
"1-1","-1","0.1","ten"
"1-1","0","0.1","five"
"1-1","0","0.1","ten"
"1-1","1","0.1","five"
"1-1","1","0.2","ten"
"1-1","2","0.1","five"
"1-1","2","0.3","ten"
"1-1","3","0.2","five"
"1-1","3","0.4","ten"
"1-1","4","0.2","five"
"1-1","4","0.5","ten"
"1-1","5","0.3","five"
"1-1","5","0.7","ten"
"1-1","6","0.5","five"
"1-1","6","1","ten"
"1-1","7","0.7","five"
"1-1","7","1.4","ten"
"1-1","8","0.9","five"
"1-1","8","1.9","ten"
"1-1","9","1.3","five"
"1-1","9","2.7","ten"
"1-1","10","1.8","five"
"1-1","10","3.8","ten"
"1-1","11","2.5","five"
"1-1","11","5.2","ten"
"1-1","12","3.4","five"
"1-1","12","7.2","ten"
"2-1","0","0","five"
"2-1","0","0","ten"
"2-1","2","0","five"
"2-1","2","0.1","ten"
"2-1","4","0","five"
"2-1","4","0.1","ten"
"2-1","6","0.1","five"
"2-1","6","0.2","ten"
"2-1","7","0.1","five"
"2-1","7","0.3","ten"
"2-1","8","0.2","five"
"2-1","8","1.5","ten"
"2-1","11","0.4","five"
"2-1","11","0.9","ten"
"2-1","13","0.8","five"
"2-1","13","1.6","ten"
"2-1","15","1.3","five"
"2-1","15","2.9","ten"
"2-1","19","2.4","five"
"2-1","19","5.1","ten"
"2-1","21","4.2","five"
"2-1","21","9","ten"
"2-1","23","7.3","five"
"2-1","23","15.5","ten"
"3-1","-1","0","five"
"3-1","-1","0","ten"
"3-1","0","0","five"
"3-1","0","0","ten"
"3-1","1","0","five"
"3-1","1","0","ten"
"3-1","2","0","five"
"3-1","2","0","ten"
"3-1","3","0","five"
"3-1","3","0.1","ten"
"3-1","4","0","five"
"3-1","4","0.1","ten"
"3-1","5","0","five"
"3-1","5","0.1","ten"
"3-1","6","0","five"
"3-1","6","0.1","ten"
"3-1","7","0.1","five"
"3-1","7","0.2","ten"
"3-1","8","0.1","five"
"3-1","8","0.2","ten"
"3-1","9","0.1","five"
"3-1","9","0.3","ten"
"3-1","10","0.1","five"
"3-1","10","0.3","ten"
"3-1","11","0.3","five"
"3-1","11","0.6","ten"
"3-1","12","0.3","five"
"3-1","12","0.6","ten"
"3-1","13","0.5","five"
"3-1","13","1.2","ten"
"3-1","14","0.5","five"
"3-1","14","1.2","ten"
"3-1","15","0.9","five"
"3-1","15","2.2","ten"
"3-1","16","0.9","five"
"3-1","16","2.2","ten"
"3-1","17","1.7","five"
"3-1","17","4","ten"
"3-1","18","1.7","five"
"3-1","18","4","ten"
"3-1","19","3.1","five"
"3-1","19","7.2","ten"
"3-1","20","3.1","five"
"3-1","20","7.2","ten"
"3-1","21","5.6","five"
"3-1","21","13","ten"
"3-1","22","5.6","five"
"3-1","22","13","ten"
"3-1","23","10.2","five"
"3-1","23","22.8","ten"
"4-1","-1","0","five"
"4-1","-1","0","ten"
"4-1","0","0","five"
"4-1","0","0","ten"
"4-1","1","0","five"
"4-1","1","0","ten"
"4-1","2","0","five"
"4-1","2","0","ten"
"4-1","3","0","five"
"4-1","3","0","ten"
"4-1","4","0","five"
"4-1","4","0","ten"
"4-1","5","0","five"
"4-1","5","0.1","ten"
"4-1","6","0","five"
"4-1","6","0.1","ten"
"4-1","7","0.1","five"
"4-1","7","0.1","ten"
"4-1","8","0.1","five"
"4-1","8","0.1","ten"
"4-1","9","0.1","five"
"4-1","9","0.3","ten"
"4-1","10","0.1","five"
"4-1","10","0.4","ten"
"4-1","11","0.2","five"
"4-1","11","0.5","ten"
"4-1","12","0.3","five"
"4-1","12","0.7","ten"
"4-1","13","0.5","five"
"4-1","13","0.9","ten"
"4-1","14","0.7","five"
"4-1","14","1.3","ten"
"4-1","15","0.9","five"
"4-1","15","1.8","ten"
"4-1","16","1.3","five"
"4-1","16","2.4","ten"
"4-1","17","1.7","five"
"4-1","17","3.4","ten"
"4-1","18","2.4","five"
"4-1","18","5.2","ten"
"4-1","19","3.3","five"
"4-1","19","6.5","ten"
"4-1","20","5.4","five"
"4-1","20","10.8","ten"
"4-1","21","6.3","five"
"4-1","21","12.2","ten"
"4-1","22","10.5","five"
"4-1","22","18.7","ten"
"4-1","23","11.7","five"
"4-1","23","22.1","ten"
"4-1","24","19.3","five"
"4-1","24","35","ten"
"4-1","25","21.4","five"
"4-1","25","38.2","ten"
"4-1","26","32.4","five"
"4-1","26","56.2","ten"
"4-1","27","37","five"
"4-1","27","60.4","ten"
"4-1","28","45","five"
"4-1","28","75.4","ten"
"4-1","29","59","five"
"4-1","29","83.2","ten"
"1-2","-1","0","five"
"1-2","-1","0.1","ten"
"1-2","0","0.1","five"
"1-2","0","0.2","ten"
"1-2","1","0.1","five"
"1-2","1","0.2","ten"
"1-2","2","0.1","five"
"1-2","2","0.3","ten"
"1-2","3","0.2","five"
"1-2","3","0.5","ten"
"1-2","4","0.2","five"
"1-2","4","0.7","ten"
"1-2","5","0.4","five"
"1-2","5","1","ten"
"1-2","6","0.5","five"
"1-2","6","1.4","ten"
"1-2","7","0.8","five"
"1-2","7","2","ten"
"1-2","8","1.1","five"
"1-2","8","3","ten"
"1-2","9","1.6","five"
"1-2","9","4.3","ten"
"1-2","10","2.3","five"
"1-2","10","6.1","ten"
"2-2","0","0","five"
"2-2","0","0","ten"
"2-2","1","0","five"
"2-2","1","0","ten"
"2-2","2","0","five"
"2-2","2","0","ten"
"2-2","3","0","five"
"2-2","3","0","ten"
"2-2","4","0","five"
"2-2","4","0","ten"
"2-2","5","0","five"
"2-2","5","0.1","ten"
"2-2","6","0","five"
"2-2","6","0.1","ten"
"2-2","7","0","five"
"2-2","7","0.1","ten"
"2-2","8","0.1","five"
"2-2","8","0.2","ten"
"2-2","9","0.1","five"
"2-2","9","0.2","ten"
"2-2","10","0.2","five"
"2-2","10","0.4","ten"
"2-2","11","0.2","five"
"2-2","11","0.5","ten"
"2-2","12","0.3","five"
"2-2","12","0.7","ten"
"2-2","13","0.5","five"
"2-2","13","1","ten"
"2-2","14","0.7","five"
"2-2","14","1.6","ten"
"2-2","15","1.1","five"
"2-2","15","1.9","ten"
"2-2","16","1.4","five"
"2-2","16","2.7","ten"
"2-2","17","3.8","five"
"2-2","17","2.1","ten"
"2-2","18","2.7","five"
"2-2","18","5.6","ten"
"2-2","19","7.5","five"
"2-2","19","4.7","ten"
"2-2","20","5.4","five"
"2-2","20","11.2","ten"
"2-2","21","7.7","five"
"2-2","21","14.4","ten"
"3-2","0","0","five"
"3-2","0","0","ten"
"3-2","1","0","five"
"3-2","1","0","ten"
"3-2","2","0","five"
"3-2","2","0","ten"
"3-2","3","0","five"
"3-2","3","0","ten"
"3-2","4","0","five"
"3-2","4","0","ten"
"3-2","5","0","five"
"3-2","5","0.1","ten"
"3-2","6","0.1","five"
"3-2","6","0.1","ten"
"3-2","7","0.1","five"
"3-2","7","0.2","ten"
"3-2","8","0.1","five"
"3-2","8","0.2","ten"
"3-2","9","0.1","five"
"3-2","9","0.3","ten"
"3-2","10","0.2","five"
"3-2","10","0.4","ten"
"3-2","11","0.3","five"
"3-2","11","0.6","ten"
"3-2","12","0.4","five"
"3-2","12","0.8","ten"
"3-2","13","0.6","five"
"3-2","13","1.2","ten"
"3-2","14","0.8","five"
"3-2","14","1.8","ten"
"3-2","15","1.4","five"
"3-2","15","2.3","ten"
"3-2","16","1.7","five"
"3-2","16","3.3","ten"
"3-2","17","2.7","five"
"3-2","17","4.5","ten"
"3-2","18","3.2","five"
"3-2","18","6.2","ten"
"3-2","19","4.7","five"
"3-2","19","8.7","ten"
"3-2","20","6.3","five"
"3-2","20","13.2","ten"
"3-2","21","9.3","five"
"3-2","21","16.3","ten"
"5-2","0","0","five"
"5-2","0","0","ten"
"5-2","1","0","five"
"5-2","1","0","ten"
"5-2","2","0","five"
"5-2","2","0","ten"
"5-2","3","0","five"
"5-2","3","0","ten"
"5-2","4","0","five"
"5-2","4","0","ten"
"5-2","5","0","five"
"5-2","5","0","ten"
"5-2","6","0","five"
"5-2","6","0","ten"
"5-2","7","0","five"
