"id","year","smoke","point","probability"
"414","ten","NEVER","-4","0.03"
"415","ten","NEVER","-5","0.02"
"416","ten","NEVER","-3","0.05"
"417","ten","NEVER","-2","0.07"
"418","ten","NEVER","-1","0.09"
"419","ten","NEVER","0","0.13"
"420","ten","NEVER","1","0.18"
"421","ten","NEVER","2","0.26"
"422","ten","NEVER","3","0.36"
"423","ten","NEVER","4","0.51"
"424","ten","NEVER","5","0.71"
"425","ten","NEVER","6","0.99"
"426","ten","NEVER","7","1.38"
"427","ten","NEVER","8","1.92"
"428","ten","NEVER","9","2.68"
"429","ten","NEVER","10","3.73"
"430","ten","NEVER","11","5.19"
"431","ten","NEVER","12","7.18"
"432","ten","NEVER","13","9.91"
"433","ten","NEVER","14","13.58"
"434","ten","NEVER","15","18.48"
"435","ten","NEVER","16","24.86"
"436","ten","NEVER","17","32.97"
"437","ten","LIGHT","-5","0.01"
"438","ten","LIGHT","-4","0.01"
"439","ten","LIGHT","-3","0.02"
"440","ten","LIGHT","-2","0.03"
"441","ten","LIGHT","-1","0.04"
"442","ten","LIGHT","0","0.07"
"443","ten","LIGHT","1","0.1"
"444","ten","LIGHT","2","0.15"
"445","ten","LIGHT","3","0.22"
"446","ten","LIGHT","4","0.33"
"447","ten","LIGHT","5","0.49"
"448","ten","LIGHT","6","0.7"
"449","ten","LIGHT","7","1.09"
"450","ten","LIGHT","8","1.61"
"451","ten","LIGHT","9","2.4"
"452","ten","LIGHT","10","3.55"
"453","ten","LIGHT","11","5.24"
"454","ten","LIGHT","12","7.71"
"455","ten","LIGHT","13","11.26"
"456","ten","LIGHT","14","16.31"
"457","ten","HEAVY","-3","0.06"
"458","ten","HEAVY","-2","0.09"
"459","ten","HEAVY","-1","0.13"
"460","ten","HEAVY","0","0.19"
"461","ten","HEAVY","1","0.28"
"462","ten","HEAVY","2","0.42"
"463","ten","HEAVY","3","0.61"
"464","ten","HEAVY","4","0.9"
"465","ten","HEAVY","5","1.33"
"466","ten","HEAVY","6","1.95"
"467","ten","HEAVY","7","2.85"
"468","ten","HEAVY","8","4.17"
"469","ten","HEAVY","9","6.08"
"470","ten","HEAVY","10","8.82"
"471","ten","HEAVY","11","12.71"
"472","ten","HEAVY","12","18.13"
"473","five","NEVER","-4","0.01"
"474","five","NEVER","-5","0.02"
"475","five","NEVER","-3","0.02"
"476","five","NEVER","-2","0.03"
"477","five","NEVER","-1","0.04"
"478","five","NEVER","0","0.06"
"479","five","NEVER","1","0.08"
"480","five","NEVER","2","0.11"
"481","five","NEVER","3","0.16"
"482","five","NEVER","4","0.22"
"483","five","NEVER","5","0.3"
"484","five","NEVER","6","0.43"
"485","five","NEVER","7","0.6"
"486","five","NEVER","8","0.83"
"487","five","NEVER","9","1.16"
"488","five","NEVER","10","1.63"
"489","five","NEVER","11","2.27"
"490","five","NEVER","12","3.16"
"491","five","NEVER","13","4.39"
"492","five","NEVER","14","6.09"
"493","five","NEVER","15","8.42"
"494","five","NEVER","16","11.58"
"495","five","NEVER","17","15.82"
"496","five","LIGHT","-5","0"
"497","five","LIGHT","-4","0.01"
"498","five","LIGHT","-3","0.01"
"499","five","LIGHT","-2","0.01"
"500","five","LIGHT","-1","0.02"
"501","five","LIGHT","0","0.03"
"502","five","LIGHT","1","0.04"
"503","five","LIGHT","2","0.06"
"504","five","LIGHT","3","0.1"
"505","five","LIGHT","4","0.14"
"506","five","LIGHT","5","0.21"
"507","five","LIGHT","6","0.32"
"508","five","LIGHT","7","0.47"
"509","five","LIGHT","8","0.7"
"510","five","LIGHT","9","1.04"
"511","five","LIGHT","10","1.55"
"512","five","LIGHT","11","2.3"
"513","five","LIGHT","12","3.4"
"514","five","LIGHT","13","5.02"
"515","five","LIGHT","14","7.39"
"516","five","HEAVY","-3","0.02"
"517","five","HEAVY","-2","0.03"
"518","five","HEAVY","-1","0.05"
"519","five","HEAVY","0","0.08"
"520","five","HEAVY","1","0.11"
"521","five","HEAVY","2","0.16"
"522","five","HEAVY","3","0.24"
"523","five","HEAVY","4","0.35"
"524","five","HEAVY","5","0.52"
"525","five","HEAVY","6","0.76"
"526","five","HEAVY","7","1.12"
"527","five","HEAVY","8","1.64"
"528","five","HEAVY","9","2.41"
"529","five","HEAVY","10","3.52"
"530","five","HEAVY","11","5.15"
"531","five","HEAVY","12","7.48"
